response_pattern_id,rp_name,domain,severity_range,l1_focus,l2_focus,l3_focus,description
RP039,Online Reviews & Reputation Management,D08,medium-critical,"Check your Google reviews rating right now. If it is below 4.3 stars you are losing potential customers before they walk through your door. Read your last 20 reviews — what patterns emerge? Check TripAdvisor and any other platform where you are listed. Are you responding to negative reviews? A negative review without a response is twice as damaging.","Implement a review monitoring system checking Google TripAdvisor and social media daily. Create response templates for positive and negative reviews that feel personal not corporate. Develop a review generation strategy — ask satisfied customers to leave reviews at the right moment. Track your review score monthly and set improvement targets.","Your online reputation should be actively managed not passively observed. Aim for a Google rating above 4.5 with a high volume of recent reviews. Use review data as customer insight to drive improvements. Respond to every review positive and negative within 24 hours. Your review profile should be a genuine competitive advantage.",Online Reviews & Reputation Management
RP040,Social Media & Visual Branding,D08,medium-critical,"Audit your Instagram and social media presence today. When did you last post? Is your content visually appealing? Does your feed reflect the actual experience of visiting your cafe? For independent cafes Instagram is often the primary discovery channel — if your presence is weak you are invisible to potential customers. Check that your profile bio hours and location are current.","Develop a social media strategy with a content calendar covering at least three posts per week. Invest in photography — good lighting and composition transform social content. Create content categories: product shots behind-the-scenes team features customer stories and community events. Engage with local accounts and food influencers. Track follower growth and engagement rates monthly.","Build a social media presence that authentically represents your cafe's personality and values. Your visual content should be distinctive and recognisable. Develop a visual brand style that is consistent across all platforms. Use social media to build community not just broadcast. Your Instagram should make people want to visit.",Social Media & Visual Branding
RP041,Brand Identity & Customer Acquisition,D08,medium-critical,"Can you describe your cafe's brand identity in one sentence? If not neither can your customers. Check your visual identity: logo signage menu design packaging cups. Is it cohesive or does it look assembled from different eras? Review your customer acquisition — how do new customers find you? If you do not know ask them.","Define your brand identity covering your story values visual style and tone of voice. Create a brand style guide ensuring consistency across all touchpoints from signage to social media to packaging. Develop a customer acquisition strategy identifying your top three channels and investing in them. Create a new customer welcome process that encourages return visits.","Your brand should be distinctive enough that customers choose you for who you are not just what you sell. Build a brand that your team can articulate and embody. Invest in professional brand development if your current identity has grown organically and lost coherence. Your brand is your most valuable long-term asset.",Brand Identity & Customer Acquisition
RP042,Community Marketing & Local Engagement,D08,medium-critical,"List every local connection your cafe has: schools businesses sports clubs community groups charities. If the list is short you are missing the most cost-effective marketing channel available to an independent cafe. Identify three local organisations you could partner with this month and make contact.","Develop a community engagement strategy covering local partnerships event hosting charity support and neighbourhood marketing. Create a local marketing calendar aligned with community events school terms and seasonal moments. Host or sponsor at least one community event per quarter. Build relationships with local media bloggers and influencers.","Position your cafe as a community hub not just a coffee shop. Your community engagement should be genuine and sustained not transactional. Build partnerships that create mutual value. The strongest independent cafes are woven into the fabric of their neighbourhood — aim for that level of connection.",Community Marketing & Local Engagement
RP043,Exterior Presentation & Cleanliness,D09,medium-critical,"Walk past your cafe from across the street. What does a potential customer see? Is your signage clear and inviting? Is the exterior clean — windows washed pavement swept A-board presentable? Step inside and look with fresh eyes: are surfaces clean tables cleared and floors spotless? First impressions are made in seconds and cannot be undone.","Develop presentation standards for your exterior and front-of-house covering signage window displays A-boards lighting and cleanliness. Create a front-of-house cleaning checklist with hourly touch-points during service. Implement a deep-clean schedule for floors walls and fixtures. Ensure back-of-house organisation does not spill into customer areas. Maintain toilet facilities to hotel standard.","Your cafe should look its best at every moment of every day. Cleanliness and presentation should be instinctive not instructed. Build a culture where every team member notices and corrects presentation issues without being asked. Your exterior should draw people in and your interior should make them want to stay.",Exterior Presentation & Cleanliness
RP044,Interior Design & Atmosphere,D09,medium-critical,"Assess your cafe atmosphere critically. Is the lighting appropriate for the time of day? Is the temperature comfortable? Is the music at the right volume and genre? Sit in every seating position and experience the cafe from the customer's perspective. Identify the three things that most detract from the atmosphere and prioritise fixing them.","Conduct a comprehensive atmosphere audit covering lighting sound temperature scent and visual design. Create a music and ambiance programme with playlists curated for different times of day. Optimise your seating layout for both comfort and capacity. Review your interior design with fresh eyes and invest in updates where the space looks tired or dated. Consider seasonal atmosphere changes.","Design an atmosphere that becomes a signature part of your cafe experience. Your space should have a distinct personality that customers associate with your brand. Invest in lighting and sound design that creates genuine warmth. Your cafe should be a place people want to spend time in not just grab a coffee from.",Interior Design & Atmosphere
RP045,Equipment Maintenance & Organisation,D09,medium-critical,"Check your espresso machine grinder dishwasher and fridge for maintenance needs. When were they last professionally serviced? Are there any faults you have been working around? Equipment failure during peak service is catastrophic — preventive maintenance is far cheaper than emergency repair. Check your back-of-house storage: is it organised or chaotic?","Create an equipment maintenance schedule covering daily checks weekly cleaning and annual professional servicing for every piece of equipment. Build relationships with service engineers for your espresso machine and grinder. Implement a maintenance log recording all servicing repairs and replacements. Organise storage areas with clear labelling logical placement and regular decluttering. Plan for equipment lifecycle and replacement budgeting.","Your equipment should be maintained to a standard that prevents failure and ensures consistency. Budget for equipment replacement before it becomes an emergency. Keep your back-of-house as organised as your front-of-house. Equipment care reflects your operational discipline — make it exemplary.",Equipment Maintenance & Organisation
RP046,POS & Digital Ordering,D10,medium-critical,"Review how you are using your POS system. Are you using it just as a till or are you leveraging its reporting capabilities? Check whether you can pull sales by product by hour and by team member. If you cannot your POS setup needs attention. Review whether digital ordering (app or website) would benefit your operation.","Optimise your POS configuration to capture the data you need: product-level sales hourly revenue team member performance and payment method breakdown. Implement digital ordering if customer demand and operational capacity support it. Integrate your POS with your accounting system and inventory management. Train all team members to use the POS fully and accurately.","Your technology should work for you not against you. Build a digital infrastructure that gives you real-time visibility of your cafe's performance. Evaluate new technology against clear ROI criteria. Your POS data should be the foundation of evidence-based decision making across all areas of the business.",POS & Digital Ordering
RP047,Data Analytics & Customer CRM,D10,medium-critical,"What do you know about your customers beyond what you observe? Check whether your POS or loyalty system captures customer data. Review what reports you can generate from your existing systems — many cafe owners are sitting on useful data they never look at. Identify three questions about your business that data could answer.","Implement a customer data capture strategy through your loyalty programme POS system or dedicated CRM. Create a weekly reporting dashboard showing sales trends customer visit frequency and product performance. Develop a customer segmentation approach identifying regulars occasional visitors and lapsed customers. Use data to personalise marketing and improve customer retention.","Build a data-driven culture where decisions are informed by evidence not intuition alone. Your analytics capability should help you understand customer behaviour predict demand and optimise operations. Balance data collection with privacy — be transparent about what you collect and why. Use data to create a better customer experience not just to sell more.",Data Analytics & Customer CRM
RP048,IT Infrastructure & Security,D10,medium-critical,"Check your wifi reliability — if customers complain about wifi it affects their experience and your reviews. Review your data backup procedures: what happens if your POS system fails? Check that your payment systems meet current PCI DSS requirements. Verify that your customer data handling complies with GDPR — especially if you collect email addresses for marketing.","Implement a basic IT infrastructure review covering wifi reliability POS backup card payment security and data protection compliance. Create a GDPR-compliant privacy policy and ensure it is accessible to customers. Set up automated data backups for your POS and business systems. Review your cybersecurity posture including password management and software updates.","Your technology infrastructure should be reliable secure and compliant without needing constant attention. Build redundancy into critical systems — POS backup wifi failover payment alternatives. Stay current with regulatory requirements and review annually. Technology should enable your operation not create risk.",IT Infrastructure & Security
RP049,Business Planning & Market Positioning,D11,medium-critical,"Do you have a current business plan? If it was written for your initial bank loan and never updated it is not serving you. Even a one-page plan covering your goals for the next 12 months your competitive position and your financial targets is better than nothing. Conduct a basic competitor analysis — visit your three nearest competitors this week and assess honestly how you compare.","Create or update your business plan covering vision market position financial projections and growth strategy. Conduct a formal competitive analysis mapping your strengths and weaknesses against local competitors. Define your market positioning — who is your ideal customer and why should they choose you? Develop an annual strategic review process and succession plan for the business.","Your business strategy should be a living document that guides decisions not a dusty file. Review and update quarterly. Build a clear competitive advantage that is difficult to replicate. Plan for the long term including succession and exit options. Your strategic clarity should give you confidence in every investment decision.",Business Planning & Market Positioning
RP050,Revenue Diversification & Expansion,D11,medium-critical,"Identify revenue opportunities you are not currently pursuing. Could you offer catering for local offices? Sell retail coffee beans or merchandise? Develop an evening trade? Host events? Launch a subscription model? List five potential revenue streams and assess each for feasibility and margin. Start with the one that requires the least investment.","Develop a revenue diversification plan evaluating each opportunity against investment required margin potential and operational impact. Create a pilot programme for your most promising new revenue stream. Assess expansion readiness — do your systems team and finances support a second location? If considering expansion ensure your first site runs independently before opening a second.","Build a diversified revenue model that reduces dependence on walk-in coffee sales. Each new revenue stream should be tested with a minimum viable approach before full commitment. If pursuing expansion create a site-opening playbook that captures everything you have learned. Growth should be strategic not opportunistic.",Revenue Diversification & Expansion
RP051,Values Alignment & Standards Culture,D12,medium-critical,"Can every team member articulate your cafe's values and standards? Ask them today. If responses are vague or inconsistent your values exist in your head but not in your culture. Check whether you have a staff handbook that documents expectations standards and policies. If not the gap between your intentions and your team's understanding is growing daily.","Define and document your cafe's core values in clear specific terms that guide daily behaviour. Create a staff handbook covering values standards policies and procedures. Implement a values-based onboarding process where new starters learn what matters to your cafe not just what tasks to perform. Address any toxic dynamics or cultural issues directly — they will not resolve themselves.","Build a culture where your values are lived not laminated. Your standards should be maintained through shared commitment not surveillance. Celebrate team members who embody your values and address those who do not. Your culture is what happens when you are not watching — make it strong enough to sustain itself.",Values Alignment & Standards Culture
RP052,Community Identity & Belonging,D12,medium-critical,"How does your cafe contribute to its neighbourhood beyond selling coffee? Do you support local causes host community events or source from local suppliers? If your cafe disappeared tomorrow would anyone beyond your regular customers notice? Local identity and community connection are powerful differentiators that chains cannot replicate.","Develop a community engagement programme covering local partnerships charity support event hosting and neighbourhood involvement. Create a sustainability commitment with measurable targets for waste reduction energy use and ethical sourcing. Implement a team recognition system that celebrates contribution and achievement. Build a sense of belonging among your team and customers.","Your cafe should be an essential part of its community — a gathering place a supporter of local causes and a reflection of its neighbourhood's identity. Build genuine connections that transcend commercial transactions. Your community identity should be authentic deeply rooted and impossible for competitors to copy.",Community Identity & Belonging
RP053,Operational Rhythm & Daily Discipline,D05,medium-critical,"Review your daily operational discipline. Are prep lists being used? Is the waste log completed every day? Is the maintenance log up to date? Are daily targets communicated to the team? If any of these basic disciplines have lapsed recommit to them this week. Operational discipline is the foundation everything else is built on.","Create a comprehensive daily discipline framework covering prep lists waste logs maintenance logs cash reconciliation temperature checks and target tracking. Implement an operational rhythm dashboard that gives you a daily snapshot of compliance. Train all shift-capable team members on the full discipline framework. Conduct weekly discipline audits and address gaps immediately.","Operational discipline should be invisible because it is automatic. Your daily routines should be so embedded that they happen without thinking. Build a culture where discipline is respected and lapses are noticed by the team not just by management. Your operational rhythm should be the heartbeat of your cafe.",Operational Rhythm & Daily Discipline
RP054,Regulatory Compliance & Risk Management,D01,medium-critical,"Conduct an immediate regulatory compliance check. Is your health and safety risk assessment current? Are fire extinguishers inspected and fire exits clear? Do you have employers liability insurance displayed? Are your gas and electrical safety certificates current? Check your food business registration and any premises licence requirements. Fix any compliance gaps this week.","Build a regulatory compliance calendar covering all required inspections certifications and renewals. Create a risk register identifying operational health and safety and financial risks with mitigation plans. Implement an incident reporting system for accidents near-misses and safety concerns. Develop emergency procedures covering fire medical emergency equipment failure and supply disruption. Ensure employment law compliance including contracts right-to-work checks and pension auto-enrolment.","Regulatory compliance should be effortless because your systems make it automatic. Build a compliance culture where everyone understands the importance of safety and legal requirements. Review your risk register quarterly and update as your operation evolves. Your regulatory house should be in order at all times not just before inspections.",Regulatory Compliance & Risk Management
RP055,Multi-Site & Chain Management,D11,medium-critical,"If you operate multiple sites assess brand consistency right now. Visit each location and compare the customer experience coffee quality cleanliness and service standards. Are SOPs being followed consistently? Is financial performance comparable across sites or are some locations underperforming? If you have no formal cross-site assessment process start one immediately.","Develop a multi-site management framework covering brand standards SOP compliance financial benchmarking and team development across all locations. Implement a mystery shopper or internal audit programme. Create an area manager role or framework with clear responsibilities. Build a central procurement function to leverage buying power. Develop a new site opening playbook that captures your operational knowledge. Implement cross-site learning through best practice sharing and regular manager meetings.","Build a chain management capability that maintains the quality and culture of your original site across every location. Your systems should scale without losing the soul of your brand. Develop regional leadership capability and create career pathways across your sites. For franchise models ensure compliance audit systems protect your brand while supporting franchisee success.",Multi-Site & Chain Management
