tool_id,tool_name,block_id,block_name,domain,module,level,format,owner_role,description,priority,dev_phase,effort_hours,adaptability,venue_types,block_dependencies,block_state,enrichment_level,mapping_status,development_status
T014-03,CCP Corrective Action SOP,B014,Critical Control Point Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,SOP,Manager,"Detailed Standard Operating Procedure for each CCP breach type: temperature excursion, undercooked food, cooling failure, hot holding breach. Covers immediate action through root cause analysis.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T014-04,Monthly CCP Performance Dashboard,B014,Critical Control Point Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,dashboard,Manager,"Monthly summary showing CCP compliance rates, breach frequency and type, corrective actions taken, trend analysis, and any recurring issues requiring management attention.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T015-03,New Supplier Questionnaire,B015,Supplier Due Diligence,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,assessment,Manager,"Assessment questionnaire for evaluating new suppliers before approval: food safety management system, allergen controls, traceability, recall procedures, and insurance details.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T015-04,Supplier Due Diligence SOP,B015,Supplier Due Diligence,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,SOP,Manager,"Standard Operating Procedure covering supplier approval, documentation requirements, delivery inspection, performance monitoring, formulation change management, and annual review.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T016-02,Monthly Record Review Checklist,B016,Food Safety Record-Keeping,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,checklist,Manager,"Monthly review checklist for the manager to verify every section of the food safety file is complete, current, and properly organised, with space for notes and actions.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B013, B014",enriched,gold,OK,planned
T016-03,Food Safety Record-Keeping SOP,B016,Food Safety Record-Keeping,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,SOP,Manager,"Standard Operating Procedure defining what records must be kept, filing location, retention periods, responsible persons, review frequency, and archiving procedures.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B013, B014",enriched,gold,OK,planned
T016-04,Record Retention Schedule,B016,Food Safety Record-Keeping,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,template,Manager,"Schedule listing every food safety record type with its required retention period, storage location, and archiving/destruction procedures.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B013, B014",enriched,gold,OK,planned
T017-02,Quarterly Comprehensive Food Safety Audit,B017,Internal Food Safety Self-Assessment,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,audit,Owner,"Detailed quarterly audit form mirroring the full EHO inspection process, with numerical scoring (0-5) for each area and an overall predicted FHRS rating.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B016,enriched,gold,OK,planned
T017-05,Self-Assessment SOP,B017,Internal Food Safety Self-Assessment,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,SOP,Manager,"Standard Operating Procedure covering self-assessment frequency, methodology, scoring system, action plan requirements, documentation, and review of effectiveness.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B016,enriched,gold,OK,planned
T018-02,Document Locator Sheet,B018,EHO Inspection Readiness,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,template,Manager,"Single-page reference listing every key food safety document with its exact location in the cafe, enabling any team member to locate any document within seconds during an inspection.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B016, B017",enriched,gold,OK,planned
T018-03,EHO Inspection SOP,B018,EHO Inspection Readiness,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,SOP,Manager,"Standard Operating Procedure covering who handles the inspection, staff behaviour expectations, document retrieval, and post-inspection response procedures.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B016, B017",enriched,gold,OK,planned
T018-04,Post-Inspection Action Plan Template,B018,EHO Inspection Readiness,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,template,Manager,"Template for documenting EHO findings, required actions, responsible persons, deadlines, and completion evidence. Used after every inspection to ensure all issues are resolved.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B016, B017",enriched,gold,OK,planned
T019-03,Monthly Team Training Session Guide,B019,Food Safety Training Plan,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,guide,Manager,"Set of 12 short (15-minute) training modules covering key food safety topics on a rotating monthly basis, designed for the manager to deliver in-house with simple quizzes.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B017,enriched,gold,OK,planned
T019-04,Food Safety Competency Assessment,B019,Food Safety Training Plan,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,assessment,Manager,"Short assessment template for testing staff food safety knowledge after training, covering temperature limits, allergens, handwashing triggers, cross-contamination prevention, and escalation procedures.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B017,enriched,gold,OK,planned
T020-03,Monthly Food Safety Performance Dashboard,B020,Food Safety Excellence Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,dashboard,Manager,"Consolidated dashboard pulling key metrics from all food safety blocks: temperature compliance, cleaning scores, training rates, CCP monitoring, allergen audit results, and predicted FHRS rating.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B012, B016, B019",enriched,gold,OK,planned
T020-04,Continuous Improvement Log,B020,Food Safety Excellence Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L2,tracker,Manager,"Log where any team member can submit food safety improvement suggestions, with fields for idea, submitter, review date, decision, implementation status, and impact assessment.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B012, B016, B019",enriched,gold,OK,planned
T001-04,Monthly Temperature Compliance Summary,B001,Daily Temperature Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,dashboard,Owner,"Monthly summary showing compliance rate, number of excursions, trends by unit, and equipment maintenance flags. Used in management review meetings.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B002, B003",enriched,gold,OK,planned
T002-05,Cold Chain Compliance Dashboard,B002,Cold Chain Management SOP,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,dashboard,Owner,"Visual dashboard showing delivery acceptance rates, fridge audit scores, supplier incident trends, and days since last cold chain failure.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B001,enriched,gold,OK,planned
T003-04,Excursion Trend Tracker,B003,Temperature Excursion Response,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,tracker,Owner,"Spreadsheet tracking all excursion events by unit, cause, duration, and cost. Used for quarterly trend analysis and preventive maintenance planning.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B002",enriched,gold,OK,planned
T004-04,Quarterly Cold Chain Trend Analysis,B004,Cold Chain Excellence Dashboard,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,dashboard,Owner,"Quarterly deep-dive analysis showing performance trends, seasonal patterns, supplier benchmarks, and ROI of improvement investments.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B002, B003",enriched,gold,OK,planned
T005-05,Quarterly Allergen Audit Checklist,B005,Allergen Identification & Labelling,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Quarterly audit that randomly selects 5 menu items, traces ingredients to source, verifies allergen matrix accuracy, and tests staff knowledge.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B007,enriched,gold,OK,planned
T007-05,Quarterly Allergen Mystery Shopper Scorecard,B007,Allergen Customer Dialogue Script,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,scorecard,Owner,"Scorecard template for quarterly mystery shopper allergen tests, rating staff on proactive asking, accuracy, confidence, escalation, and overall customer experience.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B005,enriched,gold,OK,planned
T009-05,Quarterly Handwashing Audit Form,B009,Handwashing Protocol,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Structured audit form for unannounced quarterly handwashing observations, recording technique quality, timing, trigger point compliance, and facility condition.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B011,enriched,gold,OK,planned
T010-05,Quarterly Cross-Contamination Audit,B010,Cross-Contamination Prevention,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Comprehensive quarterly audit covering observational checks during service, ATP swab test results, equipment condition, and staff knowledge assessment.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B009, B011",enriched,gold,OK,planned
T012-05,Quarterly Hygiene Culture Survey,B012,Hygiene Culture System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,assessment,Owner,"Anonymous staff survey assessing perceptions of hygiene standards, comfort in raising concerns, clarity of expectations, and management commitment to hygiene culture.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B009, B010, B011",enriched,gold,OK,planned
T013-05,Annual HACCP Review Checklist,B013,HACCP Food Safety System,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Comprehensive checklist for the annual HACCP review, covering plan accuracy, CCP validity, monitoring effectiveness, corrective action trends, and documentation completeness.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B001, B005, B009",enriched,gold,OK,planned
T014-05,Quarterly CCP Verification Audit,B014,Critical Control Point Monitoring,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Independent audit verifying that CCP monitoring records match actual conditions, corrective actions were appropriate, and the monitoring system is functioning as intended.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T015-05,Quarterly Supplier Performance Review,B015,Supplier Due Diligence,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,scorecard,Owner,"Quarterly scorecard assessing each supplier on delivery reliability, temperature compliance, documentation quality, responsiveness to queries, and overall food safety standards.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B013,enriched,gold,OK,planned
T016-05,Quarterly Record Completeness Audit,B016,Food Safety Record-Keeping,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,audit,Owner,"Quarterly audit scoring each section of the food safety file for completeness, accuracy, organisation, and currency, with trend tracking over time.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B013, B014",enriched,gold,OK,planned
T017-04,FHRS Rating Trend Tracker,B017,Internal Food Safety Self-Assessment,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,dashboard,Owner,"Dashboard tracking predicted FHRS scores over time from self-assessments, showing trends by category (food handling, structure, management) and highlighting areas of improvement or concern.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B016,enriched,gold,OK,planned
T018-05,FHRS Rating History Tracker,B018,EHO Inspection Readiness,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,tracker,Owner,"Tracker recording every EHO inspection date, score breakdown (food handling, structure, management), overall rating, key findings, and actions taken. Used to monitor rating trends.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B016, B017",enriched,gold,OK,planned
T019-05,Annual Training Needs Analysis Template,B019,Food Safety Training Plan,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,template,Owner,"Template for conducting an annual review of food safety training needs: identifying knowledge gaps, regulatory changes, menu-driven requirements, and individual development opportunities.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B017,enriched,gold,OK,planned
T020-05,Annual Strategic Food Safety Review Template,B020,Food Safety Excellence Programme,D01_food_safety,M01: Food Safety & Hygiene Compliance,L3,template,Owner,"Template for the annual strategic review covering: year in review (achievements, incidents, rating history), current maturity, next year priorities, investment needs, and regulatory outlook.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B012, B016, B019",enriched,gold,OK,planned
T021-01,Peak Period Observation Log,B021,Peak Queue Management,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Manager,"Log for recording peak period data: start/end times, queue lengths at 5-minute intervals, wait times for sampled customers, walkaway counts, and staffing levels.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B022,enriched,gold,OK,planned
T021-02,Pre-Rush Preparation Checklist,B021,Peak Queue Management,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,Head Barista,"Checklist of preparation tasks to complete 15 minutes before each peak period: stock milk, grind coffee, prepare cups and lids, restock pastries, clear counter space, check till float.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B022,enriched,gold,OK,planned
T022-01,Order-Taking Sequence Card,B022,Order-Taking Speed Protocol,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,Front-of-House Staff,"Laminated card at each till showing the standard 6-step order-taking sequence: greet, drink order, food prompt, allergen check, confirm, payment.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B021,enriched,gold,OK,planned
T022-02,Order Time Tracking Log,B022,Order-Taking Speed Protocol,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Manager,"Log for timing sample orders during peak periods: order number, items ordered, time from greeting to payment complete, and notes on any delays.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B021,enriched,gold,OK,planned
T023-01,30-Second Acknowledgement Rule Card,B023,Queue Communication Experience,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,Front-of-House Staff,"Small laminated card posted at each till and visible to all front-of-house staff, reminding them to acknowledge every queuing customer within 30 seconds with eye contact and words.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B021,enriched,gold,OK,planned
T023-02,Queue Communication Phrase Bank,B023,Queue Communication Experience,D02_customer_experience,M02: Customer Journey & Retention,L1,template,Front-of-House Staff,"Bank of natural-sounding phrases for queue acknowledgement, time estimates, and frustration recovery, giving staff options to sound genuine rather than scripted.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B021,enriched,gold,OK,planned
T024-01,Throughput Baseline Calculator,B024,Throughput Optimisation System,D02_customer_experience,M02: Customer Journey & Retention,L1,calculator,Manager,"Template for calculating transactions per hour from POS data, identifying peak capacity, average throughput, and demand-capacity gaps across the operating day.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B021, B022, B023",enriched,gold,OK,planned
T024-02,Workflow Observation Log,B024,Throughput Optimisation System,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Manager,"Structured observation log for recording step-by-step timings, delays, unnecessary movements, and bottleneck identification during peak service periods.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B021, B022, B023",enriched,gold,OK,planned
T025-01,Read-Back Rule Reference Card,B025,Order Accuracy Checklist,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,Front-of-House Staff,"Laminated card at each till reminding staff to read back every order in full, including drink type, size, milk, modifications, food items, and allergen flags.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B026,enriched,gold,OK,planned
T025-02,Order Error Tracking Log,B025,Order Accuracy Checklist,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Manager,"Log for recording every order error: date, time, what was ordered, what was made, error type (wrong milk, wrong size, missing modifier), root cause, and resolution.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B026,enriched,gold,OK,planned
T026-01,Greeting Standard Reference Card,B026,Customer Greeting Standard,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,All Staff,"Simple reference card posted at service points: 'Every customer gets eye contact, a smile, and a greeting within 10 seconds.' Includes examples of natural greeting phrases.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B025,enriched,gold,OK,planned
T026-02,Greeting Coaching Observation Form,B026,Customer Greeting Standard,D02_customer_experience,M02: Customer Journey & Retention,L1,assessment,Manager,"Form for the manager to record greeting observations for each staff member: timing, eye contact, smile, verbal greeting, body language, and naturalness.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B025,enriched,gold,OK,planned
T027-01,5-Point Pre-Handoff Check Card,B027,Drink Handoff Quality Check,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,Barista,"Small laminated card posted at the drink handoff area listing the 5 checks: correct drink, visual quality, cup cleanliness, correct accessories, and temperature.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B025, B039",enriched,gold,OK,planned
T028-01,Order Error Tracking Log,B028,Order Accuracy Tracking,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,All Staff,"Daily log for recording every order error with pre-defined categories: wrong drink, wrong milk, wrong size, missing modifier, wrong food, and other. Includes fields for likely cause and resolution.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B025, B026, B027",enriched,gold,OK,planned
T028-02,Weekly Error Rate Calculator,B028,Order Accuracy Tracking,D02_customer_experience,M02: Customer Journey & Retention,L1,calculator,Manager,"Simple calculator template: total errors divided by total orders served, multiplied by 100, with category breakdowns and comparison against target and previous weeks.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B025, B026, B027",enriched,gold,OK,planned
T029-01,Daily Return Customer Tally Sheet,B029,Return Visit Tracking,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Head Barista,"Simple daily tally sheet for counting recognised returning customers alongside total transaction numbers, giving a daily return rate estimate.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B030,enriched,gold,OK,planned
T030-01,Loyalty Programme Economics Calculator,B030,Loyalty Programme Design,D02_customer_experience,M02: Customer Journey & Retention,L1,calculator,Owner,"Calculator for determining programme cost per transaction, break-even visit frequency, and ROI based on stamp count, reward value, and estimated participation rate.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B029,enriched,gold,OK,planned
T031-01,Regulars Knowledge Sheet,B031,Regular Customer Recognition,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Front-of-House Lead,"Behind-the-counter reference listing each regular customer: name, usual order, personal details known, preferences, and notes. Updated regularly and shared across the team.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B029, B030",enriched,gold,OK,planned
T032-01,Customer Lifetime Value Calculator,B032,Customer Lifetime Value Strategy,D02_customer_experience,M02: Customer Journey & Retention,L1,calculator,Owner,"Calculator for estimating CLV by customer segment: average spend per visit, visits per week, weeks per year, and estimated relationship duration in years.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B029, B030, B031",enriched,gold,OK,planned
T032-02,CLV Team Briefing Document,B032,Customer Lifetime Value Strategy,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,Manager,"Simple one-page document explaining CLV to the team: what it means, how much a regular customer is worth, and how this changes the way we think about service and problem resolution.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B029, B030, B031",enriched,gold,OK,planned
T033-01,LAST Framework Reference Card,B033,Complaint Resolution Protocol,D02_customer_experience,M02: Customer Journey & Retention,L1,guide,All Staff,"Laminated card posted at service points showing the LAST framework: Listen, Apologise, Solve, Thank — with brief guidance for each step.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B034,enriched,gold,OK,planned
T033-02,Complaint Log,B033,Complaint Resolution Protocol,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Manager,"Daily log for recording every customer complaint: date, time, nature of complaint, customer's words, resolution offered, staff member who resolved it, and customer's response.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B034,enriched,gold,OK,planned
T034-01,Review Encouragement Card,B034,Feedback Collection System,D02_customer_experience,M02: Customer Journey & Retention,L1,template,Manager,"Small card or table talker with a QR code linking to the Google review page and a brief, friendly prompt to leave a review. Placed on tables and at the till.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B033,enriched,gold,OK,planned
T035-01,Complaint Logging Card,B035,Service Recovery Excellence,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,All Staff,"A5 card kept behind the counter for logging any customer complaint: date, time, nature of issue, tier classification, action taken, staff member, and customer reaction. Reviewed daily by manager.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B033, B034",enriched,gold,OK,planned
T036-01,Customer Journey Walk-Through Checklist,B036,Customer Journey Mapping,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,Manager,"Structured checklist for walking the complete customer journey from street approach to departure, noting observations at each of the ten key stages. Used during initial mapping and quarterly reviews.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B021, B026, B033",enriched,gold,OK,planned
T037-01,Accessibility Walk-Through Checklist,B037,Accessibility & Inclusivity Standards,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,Owner,"Structured checklist covering physical access (entrance, pathways, counter, seating, toilets), communication (menu formats, staff interaction), sensory environment, and digital presence. Used for initial audit and annual reviews.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B036,enriched,gold,OK,planned
T037-02,Barrier Improvement Tracker,B037,Accessibility & Inclusivity Standards,D02_customer_experience,M02: Customer Journey & Retention,L1,tracker,Owner,"Prioritised list of accessibility barriers identified during the audit, categorised by fix timeframe (immediate, this month, longer-term) with assigned responsibility and completion status.",P2,Phase 2 (Week 5-12),4,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B036,enriched,gold,OK,planned
T038-01,Differentiator Discovery Workshop Guide,B038,Experience Innovation & Differentiation,D02_customer_experience,M02: Customer Journey & Retention,L1,template,Owner,"Facilitation guide for the team workshop including the three sentence-completion exercises, customer interview questions, and a framework for identifying authentic strengths from the responses.",P2,Phase 2 (Week 5-12),3,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B036, B037",enriched,gold,OK,planned
T038-02,Competitor Audit Template,B038,Experience Innovation & Differentiation,D02_customer_experience,M02: Customer Journey & Retention,L1,checklist,Manager,"Structured template for auditing competitor cafes covering coffee quality, food offering, atmosphere, service style, pricing, unique features, and identified gaps or opportunities.",P2,Phase 2 (Week 5-12),2,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe","B036, B037",enriched,gold,OK,planned
T021-03,Peak Period SOP,B021,Peak Queue Management,D02_customer_experience,M02: Customer Journey & Retention,L2,SOP,Manager,"Standard Operating Procedure covering peak period management: staffing requirements, station assignments, preparation steps, queue techniques, overflow triggers, and post-rush debrief.",P2,Phase 2 (Week 5-12),5,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B022,enriched,gold,OK,planned
T021-04,Weekly Peak Performance Dashboard,B021,Peak Queue Management,D02_customer_experience,M02: Customer Journey & Retention,L2,dashboard,Manager,"Weekly dashboard tracking peak-period metrics: average wait time, customers served per hour, walkaway rate, peak queue length, and staff-to-customer ratio.",P2,Phase 2 (Week 5-12),6,high,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B022,enriched,gold,OK,planned
T021-05,Queue Overflow Response Plan,B021,Peak Queue Management,D02_customer_experience,M02: Customer Journey & Retention,L2,protocol,Manager,"Protocol defining the queue length threshold that triggers overflow response, the specific actions to deploy (extra staff, second till, queue ordering), and escalation steps.",P2,Phase 2 (Week 5-12),5,low,"Independent, Specialty, Chain, Franchise, Drive-through, Kiosk, Mobile/Van, Bakery Cafe",B022,enriched,gold,OK,planned
